# %ECSV 0.9
# ---
# datatype:
# - {name: facet_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: SPO_MM_num,datatype: int}
# - {name: SPO_row_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: DispNX,datatype: float64}
# - {name: DispNY,datatype: float64}
# - {name: DispNZ,datatype: float64}
# - {name: GBarNX,datatype: float64}
# - {name: GBarNY,datatype: float64}
# - {name: GBarNZ,datatype: float64}
# - {name: NormNX,datatype: float64}
# - {name: NormNY,datatype: float64}
# - {name: NormNZ,datatype: float64}
# - {name: xsize,unit: mm,datatype: float64}
# - {name: ysize,unit: mm,datatype: float64}
# - {name: period,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_rev1p8.py
# Description: Specifications of CAT Grating Facets from ARCUS-MEMO-#0002 (E. Hertz, as of 17/11/12)
facet_num,chan_id,SPO_MM_num,SPO_row_num,X,Y,Z,DispNX,DispNY,DispNZ,GBarNX,GBarNY,GBarNZ,NormNX,NormNY,NormNZ,xsize,ysize,period
0,1,0,1,-128.5,305.0,11877.602917087001,0.99978780212463747,-0.0005287986927357966,-0.020592986542263905,0.0,0.99967046817268634,-0.025670120050405455,0.020599774823703808,0.025664672905470455,0.99945834022327729,27,26,0.0002
1,1,0,1,-128.5,336.0,11876.764718382999,0.99978780215610208,-0.00058254548421018124,-0.020591534683692916,0.0,0.99960006293377801,-0.028279218213853523,0.020599773296589994,0.028273217424721428,0.9993879499556636,27,26,0.0002
2,1,0,1,-96.5,311.0,11876.436492239,0.99972871737464575,-0.00060970803456942158,-0.023283468653927959,0.0,0.99965731491953991,-0.026177332328863059,0.023291450286443402,0.026170230873424113,0.99938612525869408,27,26,0.0002
3,1,0,1,-96.5,342.0,11875.582401333,0.99972871740371827,-0.0006704828575460084,-0.023281796559850403,0.0,0.99958557843660256,-0.028786652837080689,0.02329144903857476,0.028778843519160786,0.99931440826567852,27,26,0.0002
4,1,1,1,-53.5,325.0,11874.431018329,0.99963788955605659,-0.00073621413514058797,-0.026898842961371249,0.0,0.99962565917427637,-0.02735948684447851,0.026908916067231184,0.027349579688551194,0.99926368428305579,27,26,0.0002
5,1,1,1,-53.5,356.0,11873.539990149,0.99963788957714605,-0.00080643775411924092,-0.026896828435676274,0.0,0.99955082365925985,-0.029969166189520797,0.026908915283776726,0.029958314042079333,0.99918887588784067,27,26,0.0002
6,1,1,1,-21.5,325.0,11873.015731911,0.99956178097479853,-0.00080997702856890432,-0.029590369239031154,0.0,0.99962556997477825,-0.027362745706520912,0.029601452911791518,0.027350754830770561,0.99918751503193748,27,26,0.0002
7,1,1,1,-21.5,356.0,11872.124476268,0.99956178098467219,-0.00088723652940352104,-0.029588153137557908,0.0,0.99955071661442618,-0.029972736204547778,0.029601452578390232,0.02995960158160153,0.99911269448362083,27,26,0.0002
8,1,2,1,21.5,356.0,11869.950133165999,0.99944805371894763,-0.00099588533093007844,-0.033205362967672888,0.0,0.99955055211042443,-0.029978221690843791,0.033220293758593769,0.029961675322868975,0.9989988539004635,27,26,0.0002
9,1,2,1,21.5,325.0,11870.841715189999,0.99944805373086032,-0.00090916478919719887,-0.033207850171027779,0.0,0.99962543289362527,-0.027367753145483533,0.033220293400199614,0.027352647616240153,0.99907369336540264,27,26,0.0002
10,1,2,1,53.5,356.0,11868.129230678,0.99935488364554681,-0.0010768033665796465,-0.035897869411787589,0.0,0.99955041427712743,-0.029982817052821138,0.035914015840560524,0.029963474647187779,0.99890558795777673,27,26,0.0002
