# %ECSV 0.9
# ---
# datatype:
# - {name: facet_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: SPO_MM_num,datatype: int}
# - {name: SPO_row_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: DispNX,datatype: float64}
# - {name: DispNY,datatype: float64}
# - {name: DispNZ,datatype: float64}
# - {name: GBarNX,datatype: float64}
# - {name: GBarNY,datatype: float64}
# - {name: GBarNZ,datatype: float64}
# - {name: NormNX,datatype: float64}
# - {name: NormNY,datatype: float64}
# - {name: NormNZ,datatype: float64}
# - {name: xsize,unit: mm,datatype: float64}
# - {name: ysize,unit: mm,datatype: float64}
# - {name: period,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_wsdesign_rev1p0.py
# Description: Specifications of CAT Grating Facets from preliminary specifications for Arcus 2020 (E. Hertz, as of 20/04/24)
facet_num,chan_id,SPO_MM_num,SPO_row_num,X,Y,Z,DispNX,DispNY,DispNZ,GBarNX,GBarNY,GBarNZ,NormNX,NormNY,NormNZ,xsize,ysize,period
0,1,0,0,-196.5,349.9,11877.9377,0.9998892750389267,-0.00043816763004858394,-0.014874329270859467,0.0,0.9995663960159151,-0.029445202593205107,0.014880781637063595,0.029441942274294173,0.9994557190656258,28,28.5,0.0002
1,1,0,0,-196.5,383.4,11876.90179,0.999889275075795,-0.0004801185097761578,-0.014873031789704174,0.0,0.9994793706731607,-0.03226433942888483,0.014880779159740953,0.03226076696234705,0.9993687033955987,28,28.5,0.0002
2,1,0,0,-163.5,359.8,11876.9742,0.9998441196709844,-0.0005346257669778787,-0.017647961203589434,0.0,0.9995414550646676,-0.03028001993405588,0.01765605729924194,0.030275299874585968,0.9993856462137877,28,28.5,0.0002
3,1,0,0,-163.5,393.3,11875.91008,0.9998441197114719,-0.0005844033404562283,-0.017646380680675797,0.0,0.9994520675317633,-0.03309931580083525,0.017656055006474818,0.03309415626993814,0.9992962726551067,28,28.5,0.0002
4,1,0,0,-130.5,368.0,11875.87182,0.999791254067474,-0.000632812798869588,-0.02042174914519203,0.0,0.9995202422301575,-0.030972332365633258,0.020431551340697667,0.03096586701723109,0.9993115964451147,28,28.5,0.0002
5,1,0,0,-130.5,401.5,11874.78428,0.999791254108432,-0.0006904194570681178,-0.020419880735737535,0.0,0.999428893005798,-0.03379183074657318,0.020431549336465973,0.03378477684073629,0.9992202663304689,28,28.5,0.0002
6,1,1,0,-87.5,385.5,11873.93162,0.9997107920973903,-0.0007803505652207147,-0.02403587354360341,0.0,0.9994733931271558,-0.03244898197001059,0.024048537668821666,0.032439597467993214,0.9991843375234151,28,28.5,0.0002
7,1,1,0,-87.5,419.0,11872.79422,0.9997107921342687,-0.0008481632530868977,-0.024033574627366393,0.0,0.9993778619907805,-0.035268810055577374,0.02404853613576254,0.03525861003829433,0.9990888340522551,28,28.5,0.0002
8,1,1,0,-54.5,389.4,11872.53057,0.9996401508588879,-0.0008793369905794081,-0.026810362871047315,0.0,0.9994625660606101,-0.032780772467112,0.026824779417923154,0.032768976334294715,0.9991029103146395,28,28.5,0.0002
9,1,1,0,-54.5,422.9,11871.38184,0.9996401508864892,-0.000954986344269944,-0.02680777381133649,0.0,0.9993660869155141,-0.03560090340389312,0.02682477838934593,0.035588092450363026,0.9990064659150646,28,28.5,0.0002
10,1,1,0,-21.5,390.9,11871.02391,0.9995617809968452,-0.0009742158239280214,-0.029585416575466594,0.0,0.9994582836076562,-0.032911082146260526,0.029601452167342824,0.03289665988464964,0.9990203019949188,28,28.5,0.0002
11,1,1,0,-21.5,424.4,11869.87063,0.9995617810096353,-0.0010577060330904141,-0.02958254895700687,0.0,0.99936142393922,-0.03573155947023198,0.029601451735449463,0.03571590122231677,0.9989234847850118,28,28.5,0.0002
12,1,2,0,21.5,424.1,11867.70621,0.9994480536889514,-0.0011863909858607392,-0.03319910320770459,0.0,0.9993620931552799,-0.0357128375279484,0.033220294661052495,0.03569312595901777,0.998810498934561,28,28.5,0.0002
13,1,2,0,21.5,390.6,11868.85906,0.9994480537043583,-0.0010926767128143604,-0.03320231925892918,0.0,0.9994589169350501,-0.03289184335084948,0.03322029419753212,0.03287368881975513,0.9989072692882015,28,28.5,0.0002
14,1,2,0,54.5,422.6,11865.87861,0.9993518545203126,-0.0012812538927241437,-0.035975397916835426,0.0,0.9993663983779745,-0.035592159151081354,0.03599820643882508,0.03556909025401526,0.998718663564314,28,28.5,0.0002
15,1,2,0,54.5,389.1,11867.02755,0.9993518545646948,-0.0011796870295443108,-0.03597887041886405,0.0,0.9994628957820423,-0.032770717950241265,0.03599820520671949,0.032749477758990155,0.9988150984683843,28,28.5,0.0002
16,1,2,0,87.5,418.8,11863.94825,0.9992478985004295,-0.0013679762604267504,-0.03875262550365686,0.0,0.999377528872478,-0.0352782480395423,0.038776762918992694,0.03525171521628953,0.9986258955343759,28,28.5,0.0002
17,1,2,0,87.5,385.3,11865.08678,0.9992478985803996,-0.0012585508062203505,-0.038756331515295665,0.0,0.9994731549910557,-0.032456316060593855,0.038776760858216845,0.03243190561920969,0.9987214498123343,28,28.5,0.0002
18,1,3,0,130.5,400.9,11861.60053,0.999100784394064,-0.001432168495684448,-0.04237418455340472,0.0,0.9994293318321505,-0.03377884949995944,0.04239837995921583,0.033748475031338515,0.9985306293799371,28,28.5,0.0002
19,1,3,0,130.5,367.4,11862.68879,0.9991007845266754,-0.001312493182442802,-0.04237805705584011,0.0,0.9995207415952766,-0.030956212960055622,0.04239837683428457,0.03092837665436641,0.9986219570785252,28,28.5,0.0002
20,1,3,0,163.5,392.7,11859.38544,0.9989789226609802,-0.00149518240628855,-0.0451539201917051,0.0,0.999452214573328,-0.0330948755016555,0.04517866840785537,0.03306108307424308,0.9984316965655943,28,28.5,0.0002
21,1,3,0,163.5,359.2,11860.45082,0.9989789228421957,-0.0013676325855209175,-0.04515795941091393,0.0,0.9995417086752374,-0.030271647107267822,0.04517866440087322,0.030240737419877477,0.9985210994682364,28,28.5,0.0002
22,1,3,0,196.5,382.9,11857.03185,0.9988492658820513,-0.001547962960826666,-0.04793482927433294,0.0,0.9994789861709139,-0.03227624827581474,0.047959817002231536,0.03223910689572437,0.9983288516013542,28,28.5,0.0002
23,1,3,0,196.5,349.4,11858.06982,0.9988492661176882,-0.0014125307983633574,-0.04793900638206363,0.0,0.9995661844428562,-0.029452383916249696,0.04795981209466799,0.029418492060162404,0.9984159497668045,28,28.5,0.0002
24,1,0,0,-196.5,424.0,11875.51933,0.999889275124864,-0.0005309604685590009,-0.014871300254335546,0.0,0.9993632315693782,-0.03568096673591254,0.014880775862628027,0.03567701596532598,0.9992525772003473,28,28.5,0.0002
25,1,4,1,-196.5,457.5,11874.2738,0.9998892751691403,-0.0005729113432098021,-0.01486974022382287,0.0,0.9992585960540527,-0.03850010665028871,0.014880772887560453,0.038495843732491784,0.9991479533150195,28,28.5,0.0002
26,1,4,1,-163.5,431.5,11874.58102,0.9998441197617643,-0.0006411646400780978,-0.01764440664140559,0.0,0.9993404235006886,-0.03631415643333133,0.01765605215847994,0.03630849577397518,0.9991846460773947,28,28.5,0.0002
27,1,4,1,-163.5,465.0,11873.31402,0.9998441198097902,-0.0006909422263281277,-0.0176425247803694,0.0,0.9992339929440103,-0.0391334555740963,0.017656049438820442,0.03912735544359784,0.999078232159126,28,28.5,0.0002
28,1,4,1,-130.5,438.8,11873.46183,0.9997912541582431,-0.0007545606198595238,-0.020417608747318124,0.0,0.9993178122151436,-0.03693115472793878,0.02043154689903837,0.036923445502958036,0.9991092087772501,28,28.5,0.0002
29,1,4,1,-130.5,472.3,11872.17389,0.999791254206803,-0.000812167311848137,-0.020415396049195296,0.0,0.9992096303044721,-0.03975065668388742,0.02043154452281896,0.03974235890152784,0.999001049497624,28,28.5,0.0002
