# %ECSV 0.9
# ---
# datatype:
# - {name: ccd_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: XHat_NX,datatype: float64}
# - {name: XHat_NY,datatype: float64}
# - {name: XHat_NZ,datatype: float64}
# - {name: YHat_NX,datatype: float64}
# - {name: YHat_NY,datatype: float64}
# - {name: YHat_NZ,datatype: float64}
# - {name: ZHat_NX,datatype: float64}
# - {name: ZHat_NY,datatype: float64}
# - {name: ZHat_NZ,datatype: float64}
# - {name: xwidth,unit: mm,datatype: float64}
# - {name: ywidth,unit: mm,datatype: float64}
# - {name: xpix,datatype: float64}
# - {name: ypix,datatype: float64}
# - {name: xpixsize,unit: mm,datatype: float64}
# - {name: ypixsize,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: focplane.fits, pushed 12/11/17
# Description: Specifications of Moritz Optimized Focal Plane, Referenced to Global Instrument Coordinate System
ccd_num,X,Y,Z,XHat_NX,XHat_NY,XHat_NZ,YHat_NX,YHat_NY,YHat_NZ,ZHat_NX,ZHat_NY,ZHat_NZ,xwidth,ywidth,xpix,ypix,xpixsize,ypixsize
1,-635.748,-12.288,26.4618,0.994701,0.0,-0.102813,-0.0,1.0,0.0,0.102813,0.0,0.994701,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
2,-584.716,-12.288,21.1965,0.995551,0.0,-0.0942263,-0.0,1.0,0.0,0.0942263,0.0,0.995551,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
3,-533.642,-12.288,16.3717,0.996327,0.0,-0.085633,-0.0,1.0,0.0,0.085633,0.0,0.996327,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
4,-480.683,-12.288,11.8379,0.997052,0.0,-0.0767231,-0.0,1.0,0.0,0.0767231,0.0,0.997052,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
5,-429.531,-12.288,7.9111,0.997677,0.0,-0.0681175,-0.0,1.0,0.0,0.0681175,0.0,0.997677,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
6,-378.347,-12.288,4.42578,0.998228,0.0,-0.0595068,-0.0,1.0,0.0,0.0595068,0.0,0.998228,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
7,-325.288,-12.288,1.2807,0.99872,0.0,-0.050581,-0.0,1.0,0.0,0.050581,0.0,0.99872,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
8,-274.051,-12.288,-1.30495,0.999119,0.0,-0.041962,-0.0,1.0,0.0,0.041962,0.0,0.999119,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
9,219.946,-12.288,-3.55453,0.999154,0.0,0.0411217,0.0,1.0,-0.0,-0.0411217,0.0,0.999154,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
10,271.204,-12.288,-1.43562,0.998762,0.0,0.0497411,0.0,1.0,-0.0,-0.0497411,0.0,0.998762,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
11,324.29,-12.288,1.22609,0.998278,0.0,0.0586674,0.0,1.0,-0.0,-0.0586674,0.0,0.998278,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
12,375.503,-12.288,4.24512,0.997734,0.0,0.0672785,0.0,1.0,-0.0,-0.0672785,0.0,0.997734,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
13,426.689,-12.288,7.70592,0.997117,0.0,0.0758846,0.0,1.0,-0.0,-0.0758846,0.0,0.997117,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
14,479.687,-12.288,11.7572,0.996398,0.0,0.0847951,0.0,1.0,-0.0,-0.0847951,0.0,0.996398,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
15,530.803,-12.288,16.1166,0.99563,0.0,0.0933891,0.0,1.0,-0.0,-0.0933891,0.0,0.99563,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
16,581.88,-12.288,20.9169,0.994787,0.0,0.101976,0.0,1.0,-0.0,-0.101976,0.0,0.994787,49.152000000000001,24.576000000000001,2048,1024,0.024,0.024
