# %ECSV 0.9
# ---
# datatype:
# - {name: xou_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: MM_num,datatype: int}
# - {name: row_num,datatype: int}
# - {name: inner_radius,unit: mm,datatype: float64}
# - {name: outer_radius,unit: mm,datatype: float64}
# - {name: azwidth,unit: mm,datatype: float64}
# - {name: clocking_angle,unit: radians,datatype: float64}
# - {name: primary_length,unit: mm,datatype: float64}
# - {name: secondary_length,unit: mm,datatype: float64}
# - {name: focal_length,unit: mm,datatype: float64}
# - {name: pore_space,unit: mm,datatype: float64}
# - {name: plate_height,unit: mm,datatype: float64}
# - {name: plate_coating,datatype: string}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_rev1p8.py
# Description: Specifications of SPOs from ARCUS-MEMO-#0002 (E. Hertz, as of 17/11/12)
xou_num,chan_id,MM_num,row_num,inner_radius,outer_radius,azwidth,clocking_angle,primary_length,secondary_length,focal_length,pore_space,plate_height,plate_coating
0,1,0,1,321.145,346.72,50.0,-0.33510321638291124,83.756,83.756,12000.0,0.605,0.775,Uncoated
1,1,0,1,348.875,374.45,50.0,-0.33510321638291124,77.554,77.554,12000.0,0.605,0.775,Uncoated
2,1,1,1,321.145,346.72,50.0,-0.11344640137963143,83.756,83.756,12000.0,0.605,0.775,Uncoated
3,1,1,1,348.875,374.45,50.0,-0.11344640137963143,77.554,77.554,12000.0,0.605,0.775,Uncoated
4,1,2,1,321.145,346.72,50.0,0.11344640137963143,83.756,83.756,12000.0,0.605,0.775,Uncoated
5,1,2,1,348.875,374.45,50.0,0.11344640137963143,77.554,77.554,12000.0,0.605,0.775,Uncoated
6,1,3,1,321.145,346.72,50.0,0.33510321638291124,83.756,83.756,12000.0,0.605,0.775,Uncoated
7,1,3,1,348.875,374.45,50.0,0.33510321638291124,77.554,77.554,12000.0,0.605,0.775,Uncoated
8,1,4,2,389.145,414.72,50.0,-0.27576202181510406,70.023,70.023,12000.0,0.605,0.775,Uncoated
9,1,4,2,416.875,442.45,50.0,-0.27576202181510406,65.635,65.635,12000.0,0.605,0.775,Uncoated
10,1,5,2,389.145,414.72,50.0,-0.09424777960769379,70.023,70.023,12000.0,0.605,0.775,Uncoated
11,1,5,2,416.875,442.45,50.0,-0.09424777960769379,65.635,65.635,12000.0,0.605,0.775,Uncoated
12,1,6,2,389.145,414.72,50.0,0.09424777960769379,70.023,70.023,12000.0,0.605,0.775,Uncoated
13,1,6,2,416.875,442.45,50.0,0.09424777960769379,65.635,65.635,12000.0,0.605,0.775,Uncoated
14,1,7,2,389.145,414.72,50.0,0.27576202181510406,70.023,70.023,12000.0,0.605,0.775,Uncoated
15,1,7,2,416.875,442.45,50.0,0.27576202181510406,65.635,65.635,12000.0,0.605,0.775,Uncoated
16,1,8,3,457.145,482.72,50.0,-0.39269908169872414,60.159,60.159,12000.0,0.605,0.775,Uncoated
17,1,8,3,484.875,510.45,50.0,-0.39269908169872414,56.891,56.891,12000.0,0.605,0.775,Uncoated
18,1,9,3,457.145,482.72,50.0,-0.23561944901923448,60.159,60.159,12000.0,0.605,0.775,Uncoated
19,1,9,3,484.875,510.45,50.0,-0.23561944901923448,56.891,56.891,12000.0,0.605,0.775,Uncoated
20,1,10,3,457.145,482.72,50.0,-0.08028514559173915,60.159,60.159,12000.0,0.605,0.775,Uncoated
21,1,10,3,484.875,510.45,50.0,-0.08028514559173915,56.891,56.891,12000.0,0.605,0.775,Uncoated
22,1,11,3,457.145,482.72,50.0,0.08028514559173915,60.159,60.159,12000.0,0.605,0.775,Uncoated
23,1,11,3,484.875,510.45,50.0,0.08028514559173915,56.891,56.891,12000.0,0.605,0.775,Uncoated
24,1,12,3,457.145,482.72,50.0,0.23561944901923448,60.159,60.159,12000.0,0.605,0.775,Uncoated
25,1,12,3,484.875,510.45,50.0,0.23561944901923448,56.891,56.891,12000.0,0.605,0.775,Uncoated
26,1,13,3,457.145,482.72,50.0,0.3909537524467298,60.159,60.159,12000.0,0.605,0.775,Uncoated
27,1,13,3,484.875,510.45,50.0,0.3909537524467298,56.891,56.891,12000.0,0.605,0.775,Uncoated
28,1,14,4,525.145,550.72,83.0,-0.2984513020910304,52.731,52.731,12000.0,0.605,0.775,Uncoated
29,1,14,4,552.875,578.45,83.0,-0.2984513020910304,50.203,50.203,12000.0,0.605,0.775,Uncoated
30,1,15,4,525.145,550.72,83.0,-0.10122909661567112,52.731,52.731,12000.0,0.605,0.775,Uncoated
31,1,15,4,552.875,578.45,83.0,-0.10122909661567112,50.203,50.203,12000.0,0.605,0.775,Uncoated
32,1,16,4,525.145,550.72,83.0,0.10122909661567112,52.731,52.731,12000.0,0.605,0.775,Uncoated
33,1,16,4,552.875,578.45,83.0,0.10122909661567112,50.203,50.203,12000.0,0.605,0.775,Uncoated
34,1,17,4,525.145,550.72,83.0,0.2984513020910304,52.731,52.731,12000.0,0.605,0.775,Uncoated
35,1,17,4,552.875,578.45,83.0,0.2984513020910304,50.203,50.203,12000.0,0.605,0.775,Uncoated
36,1,18,5,593.145,618.72,83.0,-0.26529004630313807,46.936,46.936,12000.0,0.605,0.775,Uncoated
37,1,18,5,620.875,646.45,83.0,-0.26529004630313807,44.922,44.922,12000.0,0.605,0.775,Uncoated
38,1,19,5,593.145,618.72,83.0,-0.08901179185171079,46.936,46.936,12000.0,0.605,0.775,Uncoated
39,1,19,5,620.875,646.45,83.0,-0.08901179185171079,44.922,44.922,12000.0,0.605,0.775,Uncoated
40,1,20,5,593.145,618.72,83.0,0.08901179185171079,46.936,46.936,12000.0,0.605,0.775,Uncoated
41,1,20,5,620.875,646.45,83.0,0.08901179185171079,44.922,44.922,12000.0,0.605,0.775,Uncoated
42,1,21,5,593.145,618.72,83.0,0.26529004630313807,46.936,46.936,12000.0,0.605,0.775,Uncoated
43,1,21,5,620.875,646.45,83.0,0.26529004630313807,44.922,44.922,12000.0,0.605,0.775,Uncoated
44,1,22,6,661.145,686.72,83.0,-0.23736477827122882,42.288,42.288,12000.0,0.605,0.775,Uncoated
45,1,22,6,688.875,714.45,83.0,-0.23736477827122882,40.647,40.647,12000.0,0.605,0.775,Uncoated
46,1,23,6,661.145,686.72,83.0,-0.08028514559173915,42.288,42.288,12000.0,0.605,0.775,Uncoated
47,1,23,6,688.875,714.45,83.0,-0.08028514559173915,40.647,40.647,12000.0,0.605,0.775,Uncoated
48,1,24,6,661.145,686.72,83.0,0.08028514559173915,42.288,42.288,12000.0,0.605,0.775,Uncoated
49,1,24,6,688.875,714.45,83.0,0.08028514559173915,40.647,40.647,12000.0,0.605,0.775,Uncoated
50,1,25,6,661.145,686.72,83.0,0.23736477827122882,42.288,42.288,12000.0,0.605,0.775,Uncoated
51,1,25,6,688.875,714.45,83.0,0.23736477827122882,40.647,40.647,12000.0,0.605,0.775,Uncoated
52,1,26,7,729.145,754.72,83.0,-0.21467549799530256,38.478,38.478,12000.0,0.605,0.775,Uncoated
53,1,26,7,756.875,782.45,83.0,-0.21467549799530256,37.114,37.114,12000.0,0.605,0.775,Uncoated
54,1,27,7,729.145,754.72,83.0,-0.07330382858376185,38.478,38.478,12000.0,0.605,0.775,Uncoated
55,1,27,7,756.875,782.45,83.0,-0.07330382858376185,37.114,37.114,12000.0,0.605,0.775,Uncoated
56,1,28,7,729.145,754.72,83.0,0.07330382858376185,38.478,38.478,12000.0,0.605,0.775,Uncoated
57,1,28,7,756.875,782.45,83.0,0.07330382858376185,37.114,37.114,12000.0,0.605,0.775,Uncoated
58,1,29,7,729.145,754.72,83.0,0.21467549799530256,38.478,38.478,12000.0,0.605,0.775,Uncoated
59,1,29,7,756.875,782.45,83.0,0.21467549799530256,37.114,37.114,12000.0,0.605,0.775,Uncoated
60,1,30,8,797.145,822.72,83.0,-0.19722220547535924,35.298,35.298,12000.0,0.605,0.775,Uncoated
61,1,30,8,824.875,850.45,83.0,-0.19722220547535924,34.147,34.147,12000.0,0.605,0.775,Uncoated
62,1,31,8,797.145,822.72,83.0,-0.06806784082777885,35.298,35.298,12000.0,0.605,0.775,Uncoated
63,1,31,8,824.875,850.45,83.0,-0.06806784082777885,34.147,34.147,12000.0,0.605,0.775,Uncoated
64,1,32,8,797.145,822.72,83.0,0.06806784082777885,35.298,35.298,12000.0,0.605,0.775,Uncoated
65,1,32,8,824.875,850.45,83.0,0.06806784082777885,34.147,34.147,12000.0,0.605,0.775,Uncoated
66,1,33,8,797.145,822.72,83.0,0.19722220547535924,35.298,35.298,12000.0,0.605,0.775,Uncoated
67,1,33,8,824.875,850.45,83.0,0.19722220547535924,34.147,34.147,12000.0,0.605,0.775,Uncoated
