# %ECSV 0.9
# ---
# datatype:
# - {name: xou_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: MM_num,datatype: int}
# - {name: row_num,datatype: int}
# - {name: focal_length,unit: mm,datatype: float64}
# - {name: z0,unit: mm,datatype: float64}
# - {name: inner_radius,unit: mm,datatype: float64}
# - {name: outer_radius,unit: mm,datatype: float64}
# - {name: kink_radius,unit: mm,datatype: float64}
# - {name: azwidth,unit: mm,datatype: float64}
# - {name: clocking_angle,unit: radians,datatype: float64}
# - {name: primary_length,unit: mm,datatype: float64}
# - {name: secondary_length,unit: mm,datatype: float64}
# - {name: pore_space,unit: mm,datatype: float64}
# - {name: plate_height,unit: mm,datatype: float64}
# - {name: plate_coating,datatype: string}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_wsdesign_rev1p0.py
# Description: Specifications of SPOs from preliminary specifications for Arcus 2020 (E. Hertz, as of 20/04/24)
xou_num,chan_id,MM_num,row_num,focal_length,z0,inner_radius,outer_radius,kink_radius,azwidth,clocking_angle,primary_length,secondary_length,pore_space,plate_height,plate_coating
0,1,0,0,12000.0,11993.326710281473,385.418,414.868,400.143,76.7715,-0.41193261005570164,82.819,82.819,0.665,0.775,Uncoated
1,1,0,0,12000.0,11992.284104933306,415.533,444.983,430.258,76.7715,-0.41193261005570164,76.817,76.817,0.665,0.775,Uncoated
2,1,1,0,12000.0,11993.326710281473,385.418,414.868,400.143,76.7715,-0.1373050522543939,82.819,82.819,0.665,0.775,Uncoated
3,1,1,0,12000.0,11992.284104933306,415.533,444.983,430.258,76.7715,-0.1373050522543939,76.817,76.817,0.665,0.775,Uncoated
4,1,2,0,12000.0,11993.326710281473,385.418,414.868,400.143,76.7715,0.1373050522543939,82.819,82.819,0.665,0.775,Uncoated
5,1,2,0,12000.0,11992.284104933306,415.533,444.983,430.258,76.7715,0.1373050522543939,76.817,76.817,0.665,0.775,Uncoated
6,1,3,0,12000.0,11993.326710281473,385.418,414.868,400.143,76.7715,0.41193261005570164,82.819,82.819,0.665,0.775,Uncoated
7,1,3,0,12000.0,11992.284104933306,415.533,444.983,430.258,76.7715,0.41193261005570164,76.817,76.817,0.665,0.775,Uncoated
8,1,4,1,12000.0,11990.880555069798,453.018,482.468,467.743,71.6688,-0.3501479545351024,70.461,70.461,0.665,0.775,Uncoated
9,1,4,1,12000.0,11989.667944185778,483.133,512.583,497.858,71.6688,-0.3501479545351024,66.069,66.069,0.665,0.775,Uncoated
10,1,5,1,12000.0,11990.880555069798,453.018,482.468,467.743,71.6688,-0.11671016708086082,70.461,70.461,0.665,0.775,Uncoated
11,1,5,1,12000.0,11989.667944185778,483.133,512.583,497.858,71.6688,-0.11671016708086082,66.069,66.069,0.665,0.775,Uncoated
12,1,6,1,12000.0,11990.880555069798,453.018,482.468,467.743,71.6688,0.11671016708086082,70.461,70.461,0.665,0.775,Uncoated
13,1,6,1,12000.0,11989.667944185778,483.133,512.583,497.858,71.6688,0.11671016708086082,66.069,66.069,0.665,0.775,Uncoated
14,1,7,1,12000.0,11990.880555069798,453.018,482.468,467.743,71.6688,0.3501479545351024,70.461,70.461,0.665,0.775,Uncoated
15,1,7,1,12000.0,11989.667944185778,483.133,512.583,497.858,71.6688,0.3501479545351024,66.069,66.069,0.665,0.775,Uncoated
16,1,8,2,12000.0,11988.052713946123,520.618,550.068,535.343,68.2668,-0.30452504788797063,61.312,61.312,0.665,0.775,Uncoated
17,1,8,2,12000.0,11986.669981702007,550.733,580.183,565.458,68.2668,-0.30452504788797063,57.959,57.959,0.665,0.775,Uncoated
18,1,9,2,12000.0,11988.052713946123,520.618,550.068,535.343,68.2668,-0.1015083492959902,61.312,61.312,0.665,0.775,Uncoated
19,1,9,2,12000.0,11986.669981702007,550.733,580.183,565.458,68.2668,-0.1015083492959902,57.959,57.959,0.665,0.775,Uncoated
20,1,10,2,12000.0,11988.052713946123,520.618,550.068,535.343,68.2668,0.1015083492959902,61.312,61.312,0.665,0.775,Uncoated
21,1,10,2,12000.0,11986.669981702007,550.733,580.183,565.458,68.2668,0.1015083492959902,57.959,57.959,0.665,0.775,Uncoated
22,1,11,2,12000.0,11988.052713946123,520.618,550.068,535.343,68.2668,0.30452504788797063,61.312,61.312,0.665,0.775,Uncoated
23,1,11,2,12000.0,11986.669981702007,550.733,580.183,565.458,68.2668,0.30452504788797063,57.959,57.959,0.665,0.775,Uncoated
24,1,12,3,12000.0,11984.847947193615,588.118,617.568,602.843,80.0597,-0.2694613832154045,54.275,54.275,0.665,0.775,Uncoated
25,1,12,3,12000.0,11983.295213347454,618.233,647.683,632.958,80.0597,-0.2694613832154045,51.631,51.631,0.665,0.775,Uncoated
26,1,13,3,12000.0,11984.847947193615,588.118,617.568,602.843,80.0597,-0.0898146433076282,54.275,54.275,0.665,0.775,Uncoated
27,1,13,3,12000.0,11983.295213347454,618.233,647.683,632.958,80.0597,-0.0898146433076282,51.631,51.631,0.665,0.775,Uncoated
28,1,14,3,12000.0,11984.847947193615,588.118,617.568,602.843,80.0597,0.0898146433076282,54.275,54.275,0.665,0.775,Uncoated
29,1,14,3,12000.0,11983.295213347454,618.233,647.683,632.958,80.0597,0.0898146433076282,51.631,51.631,0.665,0.775,Uncoated
30,1,15,3,12000.0,11984.847947193615,588.118,617.568,602.843,80.0597,0.2694613832154045,54.275,54.275,0.665,0.775,Uncoated
31,1,15,3,12000.0,11983.295213347454,618.233,647.683,632.958,80.0597,0.2694613832154045,51.631,51.631,0.665,0.775,Uncoated
32,1,16,4,12000.0,11981.256452632628,655.718,685.168,670.443,75.9448,-0.24162338164609495,48.679,48.679,0.665,0.775,Uncoated
33,1,16,4,12000.0,11979.533316813138,685.833,715.283,700.558,75.9448,-0.24162338164609495,46.542,46.542,0.665,0.775,Uncoated
34,1,17,4,12000.0,11981.256452632628,655.718,685.168,670.443,75.9448,-0.0805469449795383,48.679,48.679,0.665,0.775,Uncoated
35,1,17,4,12000.0,11979.533316813138,685.833,715.283,700.558,75.9448,-0.0805469449795383,46.542,46.542,0.665,0.775,Uncoated
36,1,18,4,12000.0,11981.256452632628,655.718,685.168,670.443,75.9448,0.0805469449795383,48.679,48.679,0.665,0.775,Uncoated
37,1,18,4,12000.0,11979.533316813138,685.833,715.283,700.558,75.9448,0.0805469449795383,46.542,46.542,0.665,0.775,Uncoated
38,1,19,4,12000.0,11981.256452632628,655.718,685.168,670.443,75.9448,0.24162338164609495,48.679,48.679,0.665,0.775,Uncoated
39,1,19,4,12000.0,11979.533316813138,685.833,715.283,700.558,75.9448,0.24162338164609495,46.542,46.542,0.665,0.775,Uncoated
40,1,20,5,12000.0,11977.28235160844,723.318,752.768,738.043,86.0527,-0.21900391454024845,44.13,44.13,0.665,0.775,Uncoated
41,1,20,5,12000.0,11975.388648684268,753.433,782.883,768.158,86.0527,-0.21900391454024845,42.366,42.366,0.665,0.775,Uncoated
42,1,21,5,12000.0,11977.28235160844,723.318,752.768,738.043,86.0527,-0.0730071226109228,44.13,44.13,0.665,0.775,Uncoated
43,1,21,5,12000.0,11975.388648684268,753.433,782.883,768.158,86.0527,-0.0730071226109228,42.366,42.366,0.665,0.775,Uncoated
44,1,22,5,12000.0,11977.28235160844,723.318,752.768,738.043,86.0527,0.0730071226109228,44.13,44.13,0.665,0.775,Uncoated
45,1,22,5,12000.0,11975.388648684268,753.433,782.883,768.158,86.0527,0.0730071226109228,42.366,42.366,0.665,0.775,Uncoated
46,1,23,5,12000.0,11977.28235160844,723.318,752.768,738.043,86.0527,0.21900391454024845,44.13,44.13,0.665,0.775,Uncoated
47,1,23,5,12000.0,11975.388648684268,753.433,782.883,768.158,86.0527,0.21900391454024845,42.366,42.366,0.665,0.775,Uncoated
